"","LINEUP_SORTED","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","OPPONENTS","SCORE DIFFERENTIAL WHEN ENTER","QUARTER","NUMBERS","SCORE","LOCATION","PACE","OFFENSIVE RATING","DEFENSIVE RATING","NET RATING","3PA/FGA","TRUE SHOOTING %","TRB%"
"1","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA TIMKO,NICOLE",4,5,5,165,3,7,1,5,0,1,4,"brandeis, denison","0, 15","1, 4","15 23 24 10 21","74-67, 75-58","HOME, AWAY",72.7272727272727,140,60,80,0.2,70,25
"2","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE",3,4,4,167,5,3,0,3,2,2,5,"rochester","9","3","15 10 23 4 22","72-55","AWAY",57.4850299401198,75,125,-50,0,38.659793814433,40
"3","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE",4,5,3,183,0,5,0,2,1,4,7,"brandeis, washu2","15, -11","4, 1","22 15 10 5 23","74-67, 76-70","HOME, HOME",52.4590163934426,166.666666666667,0,166.666666666667,0,102.459016393443,57.1428571428571
"4","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE",4,106,110,3523,75,121,20,85,41,60,114,"allegheny, brandeis, carlow, case western reserve, case western reserve, chicago, chicago2, denison, emory2, muskingum, muskingum, oberlin, oberlin, penn state-behrend, penn state-behrend, rochester, washington & jefferson, washington & jefferson, washu2, washu2, washu2, washu2","0, 13, 23, -11, -11, -4, 6, 1, -7, 0, 11, 0, 18, 8, 5, 5, 0, 0, 0, 10, 5, 4","3, 2, 3, 1, 1, 3, 2, 1, 1, 1, 3, 1, 3, 3, 4, 2, 1, 3, 3, 4, 4, 4","15 23 33 22 10","73-47, 74-67, 92-45, 69-63, 69-63, 54-62, 60-57, 75-58, 78-66, 91-61, 91-61, 81-43, 81-43, 78-74, 78-74, 72-55, 80-77, 80-77, 76-70, 76-70, 76-70, 76-70","AWAY, HOME, HOME, AWAY, AWAY, AWAY, HOME, AWAY, HOME, HOME, HOME, HOME, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, HOME, HOME",73.5736588135112,110,70.7547169811321,39.2452830188679,0.235294117647059,58.7150621118012,52.6315789473684
"5","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA PEPER,ANYA",4,1,0,14,0,0,0,0,0,0,0,"allegheny","-3","1","23 15 10 33 14","73-47","AWAY",85.7142857142857,NA,0,NA,NA,NA,NA
"6","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA TIMKO,NICOLE",4,13,13,427,14,12,4,12,0,6,13,"baldwin wallace, bridgewater st., case western reserve2, penn state-behrend, rochester","-4, 13, -5, 6, 7","1, 4, 1, 1, 1","23 10 33 15 24","51-70, 69-58, 70-46, 78-74, 72-55","AWAY, HOME, HOME, HOME, AWAY",73.0679156908665,92.3076923076923,107.692307692308,-15.3846153846154,0.333333333333333,50,46.1538461538462
"7","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA OR,CATHERINE PEPER,ANYA",4,1,0,11,1,0,0,0,0,0,0,"case western reserve","-10","1","14 22 23 15 10","69-63","AWAY",109.090909090909,NA,100,NA,NA,NA,NA
"8","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA OR,CATHERINE TIMKO,NICOLE",4,43,41,1627,26,49,7,39,7,22,43,"allegheny, brandeis2, bridgewater st., case western reserve2, case western reserve2, chicago2, denison, emory, johns hopkins, la roche, rochester, washu2, wis.-eau claire","-5, -1, 7, 9, 14, 0, -5, -6, -12, 7, 7, -11, 17","2, 1, 1, 3, 4, 3, 1, 1, 1, 1, 3, 1, 4","24 15 10 23 22","73-47, 62-51, 69-58, 70-46, 70-46, 60-57, 75-58, 67-77, 58-68, 72-47, 72-55, 76-70, 71-48","AWAY, AWAY, HOME, HOME, HOME, HOME, AWAY, AWAY, AWAY, HOME, AWAY, HOME, HOME",61.9545175169023,119.512195121951,60.4651162790698,59.0470788428814,0.17948717948718,58.222433460076,51.1627906976744
"9","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA PROUTY,ANNA TIMKO,NICOLE",3,3,3,88,5,0,1,3,0,1,3,"bridgewater st.","5","1","23 15 10 11 24","69-58","HOME",81.8181818181818,0,166.666666666667,-166.666666666667,0.333333333333333,0,33.3333333333333
"10","ARIAS,AVA BANEY,PAYTON DELMORE,KAYLA NAMBISAN,ISHA TIMKO,NICOLE",4,1,2,59,2,2,0,2,0,0,1,"brandeis","14","2","15 21 24 23 33","74-67","HOME",61.0169491525424,100,200,-100,0,50,0
"11","ARIAS,AVA BANEY,PAYTON DELMORE,KAYLA OR,CATHERINE TIMKO,NICOLE",4,6,8,278,7,8,3,6,2,6,10,"emory, nyu","-4, -15","1, 1","15 23 21 22 24","67-77, 62-91","AWAY, HOME",60.431654676259,100,116.666666666667,-16.6666666666667,0.5,58.1395348837209,60
"12","ARIAS,AVA BANEY,PAYTON DELMORE,KAYLA PEPER,ANYA TIMKO,NICOLE",4,5,5,174,0,11,3,5,2,6,9,"washu","11","1","23 14 15 21 24","86-67","AWAY",68.9655172413793,220,0,220,0.6,93.5374149659864,66.6666666666667
"13","ARIAS,AVA BANEY,PAYTON GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE",3,2,3,79,2,3,0,1,1,1,1,"nyu2","-24","2","23 15 22 4 5","52-83","AWAY",75.9493670886076,100,100,0,0,104.166666666667,100
